name,image,url,productid
Tinh Chất Chống Nắng Tenamyd Dạng Nước SPF50/PA+++ 70ml,,https://hasaki.vn/san-pham/tinh-chat-chong-nang-dang-nuoc-tenamyd-spf50-pa-70ml-56056.html,308900002
Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 118ml,,https://hasaki.vn/san-pham/dung-dich-tay-da-chet-paula-s-choice-bha-2-118ml-2334.html,100240016
Kem Dưỡng Olay Ban Ngày Sáng Da Chống Tia UV SPF15 PA++ 50g,,https://hasaki.vn/san-pham/kem-duong-olay-ban-ngay-sang-da-chong-tia-uv-spf15-pa-50g-98637.html,422206035
"Combo 10 Mặt Nạ Caryophy Giảm Mụn, Thâm & Dưỡng Ẩm Da 22g",,https://hasaki.vn/san-pham/combo-10-mat-na-caryophy-giam-mun-tham-duong-am-da-22g-108668.html,422212871
"Gel Rửa Mặt Simple Thanh Khiết, Giảm Bóng Nhờn 150ml",,https://hasaki.vn/san-pham/sua-rua-mat-simple-kiem-dau-ngua-mun-cho-da-mun-150ml-98921.html,422206248
Kem Chống Nắng Cell Fusion C Nâng Tông Da 50ml,,https://hasaki.vn/san-pham/kem-chong-nang-cell-fusion-c-nang-tong-da-tuyp-50ml-102131.html,422208157
Bông Tẩy Trang Mihoo Kokimi Bông Vuông Túi 240 Miếng,,https://hasaki.vn/san-pham/bong-tay-trang-mihoo-kokimi-bong-vuong-tui-240-mieng-93859.html,422203301
Gel Chống Nắng Anessa Dưỡng Ẩm Bảo Vệ Hoàn Hảo 90g (Mới),,https://hasaki.vn/san-pham/gel-chong-nang-anessa-duong-am-bao-ve-hoan-hao-90g-moi-117684.html,422218360
"Gel Dưỡng Megaduo Giảm Mụn, Mờ Thâm 15g",,https://hasaki.vn/san-pham/gel-duong-megaduo-gel-giam-mun-mo-tham-15g-81465.html,327500002
"Kem Dưỡng Torriden Làm Dịu Mát, Dưỡng Ẩm, Sáng Bóng Da 100ml",,https://hasaki.vn/san-pham/kem-duong-torriden-lam-diu-mat-duong-am-sang-bong-da-100ml-116963.html,422217961
Gel Chống Nắng Anessa Dưỡng Sáng Nâng Tông 90g (Mới),,https://hasaki.vn/san-pham/gel-chong-nang-anessa-duong-sang-nang-tong-90g-moi-117688.html,422218362
Combo Cocoon Nước Tẩy Trang & Gel Rửa Mặt Bí Đao 500ml+310ml,,https://hasaki.vn/san-pham/combo-cocoon-nuoc-tay-trang-bi-dao-500ml-gel-rua-mat-bi-dao-310ml-107934.html,422212329
Nước Tẩy Trang Chacott for Professionals 500ml,,https://hasaki.vn/san-pham/nuoc-tay-trang-chacott-for-professionals-500ml-96045.html,422204576
"Kem Dưỡng Obagi Clinical Kinetin+ Giúp Dưỡng Ẩm, Làm Dịu Da 50ml",,https://hasaki.vn/san-pham/kem-duong-obagi-clinical-giup-phuc-hoi-lam-diu-da-50ml-93683.html,422203096
Nước Hoa Hồng Skin1004 Phục Hồi Và Tái Tạo Da 210ml,,https://hasaki.vn/san-pham/nuoc-hoa-hong-chiet-xuat-rau-ma-skin1004-ho-tro-phuc-hoi-tai-tao-da-210ml-86165.html,253900005
"Combo L'Oreal Sáng Da, Mờ Thâm Nám 3 Món",,https://hasaki.vn/san-pham/combo-l-oreal-sang-da-mo-tham-nam-3-mon-134669.html,422226475
Kem Dưỡng L'Oreal Paris Sáng Mịn Mờ Thâm Nám Ban Đêm 50ml,,https://hasaki.vn/san-pham/kem-duong-l-oreal-paris-glycolic-sang-min-mo-tham-nam-ban-dem-50ml-99713.html,422206645
"Combo 2 Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml",,https://hasaki.vn/san-pham/combo-2-nuoc-tay-trang-l-oreal-tuoi-mat-cho-da-dau-hon-hop-400ml-106889.html,422211446
"Combo Torriden Serum & Kem Dưỡng Cấp Ẩm, Sáng Bóng Da 50ml +100ml",,https://hasaki.vn/san-pham/combo-torriden-serum-kem-duong-cap-am-sang-bong-da-50ml-100ml-117580.html,422218332
Combo 2 Sữa Chống Nắng Cocoon Bí Đao Quang Phổ Rộng 50ml,,https://hasaki.vn/san-pham/combo-2-sua-chong-nang-cocoon-chiet-xuat-bi-dao-quang-pho-rong-50ml-124732.html,422222786
Nước Tẩy Trang Simple Làm Sạch Trang Điểm Vượt Trội 400ml,,https://hasaki.vn/san-pham/nuoc-tay-trang-simple-lam-sach-trang-diem-va-cap-am-400ml-104259.html,422209671
"Mặt Nạ Caryophy Làm Giảm Mụn, Thâm & Dưỡng Ẩm Da 22g",,https://hasaki.vn/san-pham/mat-na-caryophy-lam-giam-mun-tham-duong-am-da-22g-87995.html,358700005
Kem Dưỡng Hatomugi Cấp Ẩm & Làm Sáng Da 300g,,https://hasaki.vn/san-pham/kem-duong-hatomugi-cap-am-da-mat-300g-89263.html,357100008
Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 125ml (Mới),,https://hasaki.vn/san-pham/sua-rua-mat-cetaphil-diu-nhe-khong-xa-phong-125ml-moi-101589.html,422207865
Sữa Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Tím),,https://hasaki.vn/san-pham/sua-chong-nang-sunplay-hieu-chinh-sac-da-50g-tim-75956.html,249500021
Sữa Rửa Mặt CeraVe Cho Da Thường Đến Khô 236ml,,https://hasaki.vn/san-pham/sua-rua-mat-cerave-cho-da-thuong-den-kho-236ml-102967.html,422208977
Gel Dưỡng I'm from Dưỡng Ẩm Và Kiểm Soát Dầu 75g,,https://hasaki.vn/san-pham/gel-duong-am-i-m-from-lam-sang-da-chiet-xuat-la-hac-mai-bien-75g-72698.html,343700002
Kem Dưỡng Olay Total Effects Ngừa Lão Hóa Da Ban Đêm 50g,,https://hasaki.vn/san-pham/kem-duong-ban-dem-olay-total-effects-ngua-lao-hoa-50g-83657.html,206400009
Sữa Chống Nắng Sunplay Bảo Vệ Vượt Trội SPF81 PA++++ 70g,,https://hasaki.vn/san-pham/sua-chong-nang-sunplay-spf81-bao-ve-da-vuot-troi-70g-12090.html,249500011
Hộp 10 Miếng Mặt Nạ Wonjin Phục Hồi Chuyên Sâu 30g/M,,https://hasaki.vn/san-pham/hop-10-mieng-mat-na-wonjin-phuc-hoi-chuyen-sau-30g-m-117173.html,422218099
"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 300ml",,https://hasaki.vn/san-pham/xit-khoang-avene-lam-diu-da-giam-kich-ung-300ml-845.html,100150067
Combo Simple Chăm Sóc Cho Da Sạch Khỏe Đàn Hồi 3 Món,,https://hasaki.vn/san-pham/combo-simple-lam-sach-can-bang-diu-nhe-da-nhay-cam-3-mon-94379.html,422203645
Dầu Tẩy Trang Hada Labo Sạch Sâu Dưỡng Ẩm Tối Ưu 200ml,,https://hasaki.vn/san-pham/dau-tay-trang-hada-labo-sach-sau-duong-am-toi-uu-200ml-17195.html,224100022
"Kem Rửa Mặt Hada Labo Sạch Sâu, Dưỡng Sáng Da 80g",,https://hasaki.vn/san-pham/kem-rua-mat-hada-labo-duong-sang-da-80g-4358.html,224100008
Tinh Chất La Roche-Posay Giảm Mụn 3 Tác Động 30ml,,https://hasaki.vn/san-pham/tinh-chat-la-roche-posay-giam-mun-3-tac-dong-30ml-93795.html,422203235
